dataset,path,label,dup_group,split,label_conflict
ccsn,ccsn/CCSN_v2/Ac/Ac-N088.jpg,Ac,87,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N089.jpg,Ac,88,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N090.jpg,Ac,89,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N091.jpg,Ac,90,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N092.jpg,Ac,91,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N093.jpg,Ac,92,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N094.jpg,Ac,93,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N095.jpg,Ac,94,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N096.jpg,Ac,95,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N097.jpg,Ac,96,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N098.jpg,Ac,97,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N099.jpg,Ac,98,test,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N100.jpg,Ac,99,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N101.jpg,Ac,100,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N102.jpg,Ac,101,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N103.jpg,Ac,102,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N104.jpg,Ac,103,test,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N105.jpg,Ac,104,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N106.jpg,Ac,105,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N107.jpg,Ac,106,val,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N108.jpg,Ac,107,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N109.jpg,Ac,108,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N110.jpg,Ac,109,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N111.jpg,Ac,110,val,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N112.jpg,Ac,111,test,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N113.jpg,Ac,112,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N114.jpg,Ac,113,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N115.jpg,Ac,114,test,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N116.jpg,Ac,115,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N117.jpg,Ac,116,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N118.jpg,Ac,117,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N119.jpg,Ac,118,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N120.jpg,Ac,119,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N121.jpg,Ac,120,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N122.jpg,Ac,121,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N123.jpg,Ac,122,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N124.jpg,Ac,123,val,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N125.jpg,Ac,124,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N126.jpg,Ac,125,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N127.jpg,Ac,126,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N128.jpg,Ac,127,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N129.jpg,Ac,128,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N130.jpg,Ac,129,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N131.jpg,Ac,130,val,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N132.jpg,Ac,131,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N133.jpg,Ac,132,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N134.jpg,Ac,133,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N135.jpg,Ac,134,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N136.jpg,Ac,135,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N137.jpg,Ac,136,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N138.jpg,Ac,137,test,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N139.jpg,Ac,138,val,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N140.jpg,Ac,139,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N141.jpg,Ac,140,test,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N142.jpg,Ac,141,test,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N143.jpg,Ac,142,test,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N144.jpg,Ac,143,val,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N145.jpg,Ac,144,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N146.jpg,Ac,145,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N147.jpg,Ac,146,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N148.jpg,Ac,147,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N149.jpg,Ac,148,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N150.jpg,Ac,149,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N151.jpg,Ac,150,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N152.jpg,Ac,151,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N153.jpg,Ac,152,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N154.jpg,Ac,153,train,True
ccsn,ccsn/CCSN_v2/Ac/Ac-N155.jpg,Ac,154,train,True
ccsn,ccsn/CCSN_v2/Ac/Ac-N156.jpg,Ac,155,train,True
ccsn,ccsn/CCSN_v2/Ac/Ac-N157.jpg,Ac,156,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N158.jpg,Ac,157,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N159.jpg,Ac,158,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N160.jpg,Ac,159,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N161.jpg,Ac,160,val,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N162.jpg,Ac,161,val,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N163.jpg,Ac,162,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N164.jpg,Ac,163,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N165.jpg,Ac,164,test,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N166.jpg,Ac,165,val,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N167.jpg,Ac,166,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N168.jpg,Ac,167,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N169.jpg,Ac,168,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N170.jpg,Ac,169,val,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N171.jpg,Ac,170,train,True
ccsn,ccsn/CCSN_v2/Ac/Ac-N172.jpg,Ac,171,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N173.jpg,Ac,172,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N174.jpg,Ac,173,val,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N175.jpg,Ac,174,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N176.jpg,Ac,175,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N177.jpg,Ac,176,test,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N178.jpg,Ac,177,val,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N179.jpg,Ac,178,val,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N180.jpg,Ac,179,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N181.jpg,Ac,180,train,True
ccsn,ccsn/CCSN_v2/Ac/Ac-N182.jpg,Ac,181,train,True
ccsn,ccsn/CCSN_v2/Ac/Ac-N183.jpg,Ac,182,test,True
ccsn,ccsn/CCSN_v2/Ac/Ac-N184.jpg,Ac,183,test,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N185.jpg,Ac,184,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N186.jpg,Ac,185,train,True
ccsn,ccsn/CCSN_v2/Ac/Ac-N187.jpg,Ac,186,val,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N188.jpg,Ac,187,val,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N189.jpg,Ac,188,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N190.jpg,Ac,189,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N191.jpg,Ac,190,val,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N192.jpg,Ac,191,val,True
ccsn,ccsn/CCSN_v2/Ac/Ac-N193.jpg,Ac,192,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N194.jpg,Ac,193,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N195.jpg,Ac,194,test,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N196.jpg,Ac,195,test,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N197.jpg,Ac,196,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N198.jpg,Ac,197,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N199.jpg,Ac,198,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N200.jpg,Ac,199,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N201.jpg,Ac,200,test,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N202.jpg,Ac,201,train,True
ccsn,ccsn/CCSN_v2/Ac/Ac-N203.jpg,Ac,202,val,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N204.jpg,Ac,203,test,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N205.jpg,Ac,204,test,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N206.jpg,Ac,205,train,True
ccsn,ccsn/CCSN_v2/Ac/Ac-N207.jpg,Ac,206,test,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N208.jpg,Ac,207,train,True
ccsn,ccsn/CCSN_v2/Ac/Ac-N209.jpg,Ac,208,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N210.jpg,Ac,209,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N211.jpg,Ac,210,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N212.jpg,Ac,211,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N213.jpg,Ac,212,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N214.jpg,Ac,213,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N215.jpg,Ac,214,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N216.jpg,Ac,215,train,True
ccsn,ccsn/CCSN_v2/Ac/Ac-N217.jpg,Ac,216,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N218.jpg,Ac,217,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N219.jpg,Ac,218,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N220.jpg,Ac,219,train,False
ccsn,ccsn/CCSN_v2/Ac/Ac-N221.jpg,Ac,220,train,False
ccsn,ccsn/CCSN_v2/As/As-N001.jpg,As,221,train,False
ccsn,ccsn/CCSN_v2/As/As-N002.jpg,As,222,test,False
ccsn,ccsn/CCSN_v2/As/As-N003.jpg,As,223,train,True
ccsn,ccsn/CCSN_v2/As/As-N004.jpg,As,224,train,False
ccsn,ccsn/CCSN_v2/As/As-N005.jpg,As,225,train,False
ccsn,ccsn/CCSN_v2/As/As-N006.jpg,As,226,train,False
ccsn,ccsn/CCSN_v2/As/As-N007.jpg,As,227,train,False
ccsn,ccsn/CCSN_v2/As/As-N008.jpg,As,228,val,False
ccsn,ccsn/CCSN_v2/As/As-N009.jpg,As,229,train,False
ccsn,ccsn/CCSN_v2/As/As-N010.jpg,As,230,train,True
ccsn,ccsn/CCSN_v2/As/As-N011.jpg,As,231,train,False
ccsn,ccsn/CCSN_v2/As/As-N012.jpg,As,232,train,False
ccsn,ccsn/CCSN_v2/As/As-N013.jpg,As,233,train,False
ccsn,ccsn/CCSN_v2/As/As-N014.jpg,As,5,train,True
ccsn,ccsn/CCSN_v2/As/As-N015.jpg,As,235,test,False
ccsn,ccsn/CCSN_v2/As/As-N016.jpg,As,236,train,False
ccsn,ccsn/CCSN_v2/As/As-N017.jpg,As,237,train,False
ccsn,ccsn/CCSN_v2/As/As-N018.jpg,As,238,train,False
ccsn,ccsn/CCSN_v2/As/As-N019.jpg,As,239,train,True
ccsn,ccsn/CCSN_v2/As/As-N020.jpg,As,240,train,False
ccsn,ccsn/CCSN_v2/As/As-N021.jpg,As,241,train,False
ccsn,ccsn/CCSN_v2/As/As-N022.jpg,As,242,train,False
ccsn,ccsn/CCSN_v2/As/As-N023.jpg,As,243,train,False
ccsn,ccsn/CCSN_v2/As/As-N024.jpg,As,244,train,False
ccsn,ccsn/CCSN_v2/As/As-N025.jpg,As,245,test,False
ccsn,ccsn/CCSN_v2/As/As-N026.jpg,As,246,train,False
ccsn,ccsn/CCSN_v2/As/As-N027.jpg,As,247,val,False
ccsn,ccsn/CCSN_v2/As/As-N028.jpg,As,248,train,True
ccsn,ccsn/CCSN_v2/As/As-N029.jpg,As,249,train,False
ccsn,ccsn/CCSN_v2/As/As-N030.jpg,As,250,train,False
ccsn,ccsn/CCSN_v2/As/As-N031.jpg,As,251,train,False
ccsn,ccsn/CCSN_v2/As/As-N032.jpg,As,252,val,True
ccsn,ccsn/CCSN_v2/As/As-N033.jpg,As,253,test,False
ccsn,ccsn/CCSN_v2/As/As-N034.jpg,As,254,train,False
ccsn,ccsn/CCSN_v2/As/As-N035.jpg,As,255,train,False
ccsn,ccsn/CCSN_v2/As/As-N036.jpg,As,256,train,False
ccsn,ccsn/CCSN_v2/As/As-N037.jpg,As,257,val,False
ccsn,ccsn/CCSN_v2/As/As-N038.jpg,As,258,train,False
ccsn,ccsn/CCSN_v2/As/As-N039.jpg,As,259,test,False
ccsn,ccsn/CCSN_v2/As/As-N040.jpg,As,260,train,False
ccsn,ccsn/CCSN_v2/As/As-N041.jpg,As,261,train,False
ccsn,ccsn/CCSN_v2/As/As-N042.jpg,As,262,val,False
ccsn,ccsn/CCSN_v2/As/As-N043.jpg,As,263,val,True
ccsn,ccsn/CCSN_v2/As/As-N044.jpg,As,264,train,False
ccsn,ccsn/CCSN_v2/As/As-N045.jpg,As,265,test,False
ccsn,ccsn/CCSN_v2/As/As-N046.jpg,As,266,train,False
ccsn,ccsn/CCSN_v2/As/As-N047.jpg,As,267,train,False
ccsn,ccsn/CCSN_v2/As/As-N048.jpg,As,268,train,False
ccsn,ccsn/CCSN_v2/As/As-N049.jpg,As,269,train,False
ccsn,ccsn/CCSN_v2/As/As-N050.jpg,As,270,val,False
ccsn,ccsn/CCSN_v2/As/As-N051.jpg,As,271,train,False
ccsn,ccsn/CCSN_v2/As/As-N052.jpg,As,272,train,False
ccsn,ccsn/CCSN_v2/As/As-N053.jpg,As,273,train,False
ccsn,ccsn/CCSN_v2/As/As-N054.jpg,As,274,train,False
ccsn,ccsn/CCSN_v2/As/As-N055.jpg,As,275,train,False
ccsn,ccsn/CCSN_v2/As/As-N056.jpg,As,276,test,False
ccsn,ccsn/CCSN_v2/As/As-N057.jpg,As,277,train,False
ccsn,ccsn/CCSN_v2/As/As-N058.jpg,As,278,train,False
ccsn,ccsn/CCSN_v2/As/As-N059.jpg,As,279,train,False
ccsn,ccsn/CCSN_v2/As/As-N060.jpg,As,280,train,False
ccsn,ccsn/CCSN_v2/As/As-N061.jpg,As,281,train,False
ccsn,ccsn/CCSN_v2/As/As-N062.jpg,As,282,train,False
ccsn,ccsn/CCSN_v2/As/As-N063.jpg,As,283,train,False
ccsn,ccsn/CCSN_v2/As/As-N064.jpg,As,284,test,False
ccsn,ccsn/CCSN_v2/As/As-N065.jpg,As,285,train,False
ccsn,ccsn/CCSN_v2/As/As-N066.jpg,As,286,train,False
ccsn,ccsn/CCSN_v2/As/As-N067.jpg,As,287,train,False
ccsn,ccsn/CCSN_v2/As/As-N068.jpg,As,288,test,False
ccsn,ccsn/CCSN_v2/As/As-N069.jpg,As,289,val,False
ccsn,ccsn/CCSN_v2/As/As-N070.jpg,As,290,train,False
ccsn,ccsn/CCSN_v2/As/As-N071.jpg,As,291,train,False
ccsn,ccsn/CCSN_v2/As/As-N072.jpg,As,292,test,False
ccsn,ccsn/CCSN_v2/As/As-N073.jpg,As,293,train,False
ccsn,ccsn/CCSN_v2/As/As-N074.jpg,As,294,train,False
ccsn,ccsn/CCSN_v2/As/As-N075.jpg,As,295,train,True
ccsn,ccsn/CCSN_v2/As/As-N076.jpg,As,296,train,False
ccsn,ccsn/CCSN_v2/As/As-N077.jpg,As,297,test,False
ccsn,ccsn/CCSN_v2/As/As-N078.jpg,As,238,train,False
ccsn,ccsn/CCSN_v2/As/As-N079.jpg,As,299,train,False
ccsn,ccsn/CCSN_v2/As/As-N080.jpg,As,300,train,False
ccsn,ccsn/CCSN_v2/As/As-N081.jpg,As,301,test,False
ccsn,ccsn/CCSN_v2/As/As-N082.jpg,As,302,train,False
ccsn,ccsn/CCSN_v2/As/As-N083.jpg,As,303,train,False
ccsn,ccsn/CCSN_v2/As/As-N084.jpg,As,304,train,False
ccsn,ccsn/CCSN_v2/As/As-N085.jpg,As,302,train,False
ccsn,ccsn/CCSN_v2/As/As-N086.jpg,As,306,train,False
ccsn,ccsn/CCSN_v2/As/As-N087.jpg,As,307,train,False
ccsn,ccsn/CCSN_v2/As/As-N088.jpg,As,308,val,False
ccsn,ccsn/CCSN_v2/As/As-N089.jpg,As,309,val,False
ccsn,ccsn/CCSN_v2/As/As-N090.jpg,As,310,train,False
ccsn,ccsn/CCSN_v2/As/As-N091.jpg,As,311,train,False
ccsn,ccsn/CCSN_v2/As/As-N092.jpg,As,312,val,True
ccsn,ccsn/CCSN_v2/As/As-N093.jpg,As,313,train,True
ccsn,ccsn/CCSN_v2/As/As-N094.jpg,As,314,train,False
ccsn,ccsn/CCSN_v2/As/As-N095.jpg,As,315,test,False
ccsn,ccsn/CCSN_v2/As/As-N096.jpg,As,316,test,False
ccsn,ccsn/CCSN_v2/As/As-N097.jpg,As,317,test,False
ccsn,ccsn/CCSN_v2/As/As-N098.jpg,As,318,train,False
ccsn,ccsn/CCSN_v2/As/As-N099.jpg,As,319,test,False
ccsn,ccsn/CCSN_v2/As/As-N100.jpg,As,320,train,False
ccsn,ccsn/CCSN_v2/As/As-N101.jpg,As,321,train,False
ccsn,ccsn/CCSN_v2/As/As-N102.jpg,As,322,train,False
ccsn,ccsn/CCSN_v2/As/As-N103.jpg,As,323,val,False
ccsn,ccsn/CCSN_v2/As/As-N104.jpg,As,324,train,False
ccsn,ccsn/CCSN_v2/As/As-N105.jpg,As,325,train,False
ccsn,ccsn/CCSN_v2/As/As-N106.jpg,As,326,val,False
ccsn,ccsn/CCSN_v2/As/As-N107.jpg,As,327,train,False
ccsn,ccsn/CCSN_v2/As/As-N108.jpg,As,328,val,True
ccsn,ccsn/CCSN_v2/As/As-N109.jpg,As,329,train,False
ccsn,ccsn/CCSN_v2/As/As-N110.jpg,As,330,train,True
ccsn,ccsn/CCSN_v2/As/As-N111.jpg,As,331,train,True
ccsn,ccsn/CCSN_v2/As/As-N112.jpg,As,332,val,True
ccsn,ccsn/CCSN_v2/As/As-N113.jpg,As,333,test,False
ccsn,ccsn/CCSN_v2/As/As-N114.jpg,As,334,train,False
ccsn,ccsn/CCSN_v2/As/As-N115.jpg,As,335,train,False
ccsn,ccsn/CCSN_v2/As/As-N116.jpg,As,336,train,False
ccsn,ccsn/CCSN_v2/As/As-N117.jpg,As,337,val,False
ccsn,ccsn/CCSN_v2/As/As-N118.jpg,As,338,train,False
ccsn,ccsn/CCSN_v2/As/As-N119.jpg,As,339,train,False
ccsn,ccsn/CCSN_v2/As/As-N120.jpg,As,340,train,False
